Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,SourceCDF,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2016-04-01,2016-04-01,2016-05-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\04\voyager1_coho1hr_merged_mag_plasma_20160401_v01.cdf,720,209,0,3,573,15,6840,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-04.png,ok,
1,2016-05-01,2016-05-01,2016-06-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\05\voyager1_coho1hr_merged_mag_plasma_20160501_v01.cdf,744,224,0,3,647,15,6300,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-05.png,ok,
1,2016-06-01,2016-06-01,2016-07-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\06\voyager1_coho1hr_merged_mag_plasma_20160601_v01.cdf,720,203,0,3,567,15,5130,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-06.png,ok,
1,2016-07-01,2016-07-01,2016-08-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\07\voyager1_coho1hr_merged_mag_plasma_20160701_v01.cdf,744,236,0,3,727,15,6570,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-07.png,ok,
1,2016-08-01,2016-08-01,2016-09-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\08\voyager1_coho1hr_merged_mag_plasma_20160801_v01.cdf,744,208,0,3,646,15,6030,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-08.png,ok,
1,2016-09-01,2016-09-01,2016-10-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\09\voyager1_coho1hr_merged_mag_plasma_20160901_v01.cdf,720,230,0,3,700,15,5940,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-09.png,ok,
1,2016-10-01,2016-10-01,2016-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\10\voyager1_coho1hr_merged_mag_plasma_20161001_v01.cdf,744,233,0,3,675,15,6300,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-10.png,ok,
1,2016-11-01,2016-11-01,2016-12-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\11\voyager1_coho1hr_merged_mag_plasma_20161101_v01.cdf,720,209,0,3,640,15,5850,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-11.png,ok,
1,2016-12-01,2016-12-01,2017-01-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\12\voyager1_coho1hr_merged_mag_plasma_20161201_v01.cdf,744,263,0,3,780,15,7830,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-12.png,ok,
1,2017-01-01,2017-01-01,2017-02-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\01\voyager1_coho1hr_merged_mag_plasma_20170101_v01.cdf,744,309,0,3,908,15,8100,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2017-01.png,ok,
1,2017-02-01,2017-02-01,2017-03-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\02\voyager1_coho1hr_merged_mag_plasma_20170201_v01.cdf,672,267,0,3,787,15,7110,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2017-02.png,ok,
1,2017-03-01,2017-03-01,2017-04-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2017\03\voyager1_coho1hr_merged_mag_plasma_20170301_v01.cdf,744,383,0,3,1126,15,8460,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2017-03.png,ok,
